STRUCTURE,STRUCTURE_ID,ACTION,FREQ,FREQ_LABEL,REF_AREA,REF_AREA_LABEL,INDICATOR,INDICATOR_LABEL,SEX,SEX_LABEL,AGE,AGE_LABEL,URBANISATION,URBANISATION_LABEL,UNIT_MEASURE,UNIT_MEASURE_LABEL,COMP_BREAKDOWN_1,COMP_BREAKDOWN_1_LABEL,COMP_BREAKDOWN_2,COMP_BREAKDOWN_2_LABEL,COMP_BREAKDOWN_3,COMP_BREAKDOWN_3_LABEL,TIME_PERIOD,OBS_VALUE,AGG_METHOD,AGG_METHOD_LABEL,DATABASE_ID,DATABASE_ID_LABEL,UNIT_MULT,UNIT_MULT_LABEL,UNIT_TYPE,UNIT_TYPE_LABEL,TIME_FORMAT,TIME_FORMAT_LABEL,COMMENT_OBS,OBS_STATUS,OBS_STATUS_LABEL,OBS_CONF,OBS_CONF_LABEL
datastructure,WB.DATA360:DS_DATA360(1.2),I,_O,Other,ALB,Albania,WB_SSGD_PCT_POP_PRIMARY_EDU_COMPLETE,Percentage of population with completed primary education,_T,Total,Y15T29,15 to 29 years old,_T,Total,PT_POP,Percentage of population,_T,Total,_T,Total,_Z,Not Applicable,2020,99.4979019165039,_Z,Not Applicable,WB_SSGD,Social sustainability global database,0,Units,RATIO,Ratio,602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,_O,Other,ALB,Albania,WB_SSGD_PCT_POP_PRIMARY_EDU_COMPLETE,Percentage of population with completed primary education,M,Male,_T,All age ranges or no breakdown by age,_T,Total,PT_POP,Percentage of population,_T,Total,_T,Total,_Z,Not Applicable,2020,79.65440368652344,_Z,Not Applicable,WB_SSGD,Social sustainability global database,0,Units,RATIO,Ratio,602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,_O,Other,ALB,Albania,WB_SSGD_PCT_POP_PRIMARY_EDU_COMPLETE,Percentage of population with completed primary education,_T,Total,Y_GE60,60 years old and over,_T,Total,PT_POP,Percentage of population,_T,Total,_T,Total,_Z,Not Applicable,2018,75.26861572265625,_Z,Not Applicable,WB_SSGD,Social sustainability global database,0,Units,RATIO,Ratio,602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,_O,Other,ALB,Albania,WB_SSGD_PCT_POP_PRIMARY_EDU_COMPLETE,Percentage of population with completed primary education,M,Male,_T,All age ranges or no breakdown by age,_T,Total,PT_POP,Percentage of population,_T,Total,_T,Total,_Z,Not Applicable,2018,77.26959228515625,_Z,Not Applicable,WB_SSGD,Social sustainability global database,0,Units,RATIO,Ratio,602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,_O,Other,ALB,Albania,WB_SSGD_PCT_POP_PRIMARY_EDU_COMPLETE,Percentage of population with completed primary education,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_POP,Percentage of population,_T,Total,_T,Total,_Z,Not Applicable,2018,76.53575897216797,_Z,Not Applicable,WB_SSGD,Social sustainability global database,0,Units,RATIO,Ratio,602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,_O,Other,ALB,Albania,WB_SSGD_PCT_POP_PRIMARY_EDU_COMPLETE,Percentage of population with completed primary education,_T,Total,Y15T29,15 to 29 years old,_T,Total,PT_POP,Percentage of population,_T,Total,_T,Total,_Z,Not Applicable,2018,98.44678497314452,_Z,Not Applicable,WB_SSGD,Social sustainability global database,0,Units,RATIO,Ratio,602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,_O,Other,ALB,Albania,WB_SSGD_PCT_POP_PRIMARY_EDU_COMPLETE,Percentage of population with completed primary education,F,Female,_T,All age ranges or no breakdown by age,_T,Total,PT_POP,Percentage of population,_T,Total,_T,Total,_Z,Not Applicable,2018,75.78456115722656,_Z,Not Applicable,WB_SSGD,Social sustainability global database,0,Units,RATIO,Ratio,602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,_O,Other,ALB,Albania,WB_SSGD_PCT_POP_PRIMARY_EDU_COMPLETE,Percentage of population with completed primary education,_T,Total,Y30T59,30 to 59 years old,_T,Total,PT_POP,Percentage of population,_T,Total,_T,Total,_Z,Not Applicable,2018,97.27352142333984,_Z,Not Applicable,WB_SSGD,Social sustainability global database,0,Units,RATIO,Ratio,602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,_O,Other,ALB,Albania,WB_SSGD_PCT_POP_PRIMARY_EDU_COMPLETE,Percentage of population with completed primary education,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_POP,Percentage of population,_T,Total,_T,Total,_Z,Not Applicable,2020,78.66586303710938,_Z,Not Applicable,WB_SSGD,Social sustainability global database,0,Units,RATIO,Ratio,602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,_O,Other,ALB,Albania,WB_SSGD_PCT_POP_PRIMARY_EDU_COMPLETE,Percentage of population with completed primary education,_T,Total,Y30T59,30 to 59 years old,_T,Total,PT_POP,Percentage of population,_T,Total,_T,Total,_Z,Not Applicable,2020,98.82536315917967,_Z,Not Applicable,WB_SSGD,Social sustainability global database,0,Units,RATIO,Ratio,602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,_O,Other,ALB,Albania,WB_SSGD_PCT_POP_PRIMARY_EDU_COMPLETE,Percentage of population with completed primary education,F,Female,_T,All age ranges or no breakdown by age,_T,Total,PT_POP,Percentage of population,_T,Total,_T,Total,_Z,Not Applicable,2020,77.68402862548828,_Z,Not Applicable,WB_SSGD,Social sustainability global database,0,Units,RATIO,Ratio,602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,_O,Other,ALB,Albania,WB_SSGD_PCT_POP_PRIMARY_EDU_COMPLETE,Percentage of population with completed primary education,_T,Total,Y_GE25,25 years old and over,_T,Total,PT_POP,Percentage of population,_T,Total,_T,Total,_Z,Not Applicable,2018,90.5635986328125,_Z,Not Applicable,WB_SSGD,Social sustainability global database,0,Units,RATIO,Ratio,602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,_O,Other,ALB,Albania,WB_SSGD_PCT_POP_PRIMARY_EDU_COMPLETE,Percentage of population with completed primary education,_T,Total,Y15T24,15 to 24 years old,_T,Total,PT_POP,Percentage of population,_T,Total,_T,Total,_Z,Not Applicable,2020,99.60205841064452,_Z,Not Applicable,WB_SSGD,Social sustainability global database,0,Units,RATIO,Ratio,602,CCYY,,A,Normal value,PU,Public
